state_name,pop_2019,population_density,births_2019,birth_rate,deaths_2019,death_rate,international_migration,international_migration_rate,domestic_migration,domestic_migration_rate,one_year_growth_rate,states_code
Alabama,4903185,0.002292680189609852307097,57313,11.68893280592104928000,53879,10.98857171410012064000,2772,0.56534681028759878000,9387,1.91446988029209585000,-0.139392764,AL
Alaska,731545,0.000074386643846413653255,10031,13.71207512866604242000,4819,6.58742797777306933000,659,0.90083316815780301000,-9482,-12.96160865,-0.159963671,AK
Arizona,7278717,0.000340626990648715445699,81942,11.25775325514098158000,60523,8.31506431696685006000,7782,1.06914446598212295000,91017,12.50453891805382734000,0.15157634609597565596,AZ
Arkansas,3017804,0.001574369063413742164081,36640,12.14127889021288328000,31322,10.37907034386593695000,268,0.088806297559417377669000,2515,0.83338745657438323000,-0.256823642,AR
California,39512223,0.009111830784317878186297,462617,11.70819976390596905000,282520,7.15019248600616574000,74028,1.87354682625677629000,-203414,-5.148128466,0.155424235182584921155144,CA
Colorado,5758736,0.004232722056879535260937,64524,11.20454210785144518000,39116,6.79246279044568114000,10523,1.82731071540699209000,31335,5.44129822933365933000,0.41466642894549584374,CO
Connecticut,3565287,0.001851852426492208664544,34567,9.69543265380879576000,31149,8.73674405454595941000,12323,3.45638373572730610000,-22059,-6.187159687,-0.017302403,CT
Delaware,973764,0.000599709960510761993294,10683,10.97083071462900662000,9454,9.70871792343935492000,73,0.074966829745194934296000,6961,7.14854934049728682000,0.03581956006153850203,DE
District of Columbia,705749,0.00398666117486718242,9493,13.45095777677332876000,5677,8.04393630029939823000,2604,3.68969704526680165000,-2203,-3.121506371,0.00598962008247487339,DC
Florida,21477737,0.007739095111551611048278,221695,10.32208374653251411000,211692,9.85634566621241335000,88678,4.12883349861300564000,133910,6.23482818511093604000,0.58498105810865374469,FL
Georgia,10617423,0.012638701584415900256918,127873,12.04369459519508642000,86319,8.12993887499819872000,15053,1.41776399037694928000,49680,4.67910151079033020000,0.886940130372089589579772,GA
Hawaii,1415872,0.000238624036113421965399,16878,11.92056909099127605000,12748,9.00363874700537902000,5014,3.54128056773493649000,-13817,-9.758650499,-0.000986807,HI
Idaho,1787065,0.000669969962785732148124,22220,12.43379507740345203000,13308,7.44684720477430871000,167,0.093449314938180760073000,27360,15.31001950124925506000,0.55852167871653194657,ID
Illinois,12671821,0.006246786030247291417900,144299,11.38739254602791501000,110004,8.68099383663958006000,19209,1.51588315523080700000,-104986,-8.284997081,-0.689631919,IL
Indiana,6732219,0.006371824216105204406226,80711,11.98876625968347138000,62175,9.23543931057501249000,14379,2.13584852186181109000,3997,0.59371211780246602000,0.184023206556671063009435,IN
Iowa,3155070,0.002075986361732128403931,37672,11.94014712827290678000,28809,9.13101769532847132000,2663,0.84403832561559648000,-5011,-1.588237345,-0.200072395,IA
Kansas,2913314,0.002027468887313255858623,35457,12.17067573217305103000,25230,8.66024053706534895000,4104,1.40870500055950028000,-12357,-4.241561328,-0.519014192,KS
Kentucky,4467673,0.005463320544097129424804,53471,11.96842293516110064000,46074,10.31275117941711491000,765,0.17123007883522362000,-1541,-0.34492229,-0.036389561,KY
Louisiana,4648794,0.003008172635241987775238,58498,12.58347863983648232000,46343,9.96882202136726213000,3040,0.65393304155873545000,-26045,-5.602528312,-0.362000957,LA
Maine,1344212,0.000434667785584495300174,12073,8.98147018476252258000,14335,10.66424046206997111000,852,0.63382859251368088000,6613,4.91961089471006062000,0.053241736053471783507064,ME
Maryland,6045680,0.006662864270076882403632,70091,11.59356763837980178000,51453,8.51070516467957285000,15011,2.48292995990525466000,-23665,-3.914365299,0.06468115971682172126,MD
Massachusetts,6892503,0.005578592640465087356716,70419,10.21675289804008790000,58564,8.49676815519703074000,28426,4.12419116828821112000,-30274,-4.392308571,0.01426531568775301873,MA
Michigan,9986857,0.005211282644798545225148,109472,10.96160683986964067000,95983,9.61093164746426228000,13146,1.31633005258811656000,-23670,-2.370115042,-0.04233815,MI
Minnesota,5639632,0.004377934968229855530504,67642,11.99404500151782953000,43200,7.66007427434981573000,9113,1.61588557551272849000,65,0.011525574718350417190000,0.131389519075168717524558,MN
Mississippi,2976149,0.001861912170968861943810,35978,12.08877646918887462000,31536,10.59624366925177469000,1429,0.48015069138003507000,-10740,-3.608690291,-0.426525343,MS
Missouri,6137428,0.005654839448070878627518,71297,11.61675542262980519000,60141,9.79905589116483322000,5503,0.89662966310969351000,-710,-0.115683638,-0.075798271,MO
Montana,1068778,0.000168103992582064486421,11618,10.87035848417538535000,9870,9.23484577713987376000,322,0.30127865655917319000,6024,5.63634356246105365000,-0.085766691,MT
Nebraska,1934408,0.001602858993803087663568,25343,13.10116583471532376000,15582,8.05517760472454622000,3295,1.70336350966290462000,-4220,-2.181545982,-0.307618743,NE
Nevada,3080156,0.000323199009989653837955,35932,11.66564290899551841000,25610,8.31451394020302868000,-970,-0.314919114,43207,14.02753626764358688000,0.23471437276808571760,NV
New Hampshire,1359711,0.000690180737206400339232,12004,8.82834661189032081000,12125,8.91733611039404697000,1947,1.43192193046904820000,4469,3.28672784143100997000,0.03540108213832531078,NH
New Jersey,8882190,0.016136098566265285037209,99501,11.20230483698277114000,75723,8.52526235083915116000,21284,2.39625587833631120000,-48946,-5.510577909,-0.030065919,NJ
New Mexico,2096829,0.000467207246876993121654,23125,11.02855788431007011000,18388,8.76943231899215434000,1546,0.73730380493592944000,-2136,-1.018681066,-0.089872588,NM
New York,19453561,0.051228281749134448379374,222924,11.45929015258440344000,164817,8.47233059284107419000,45753,2.35190873280218465000,-180649,-9.286166168,-0.247786884,NY
North Carolina,10488084,0.007763398225405543650179,119203,11.36556495924327074000,94312,8.99230021422406609000,14184,1.35239191448123413000,67338,6.42042912699783869000,0.467256334729871161415028,NC
North Dakota,762062,0.000188873499924294086263,10536,13.82564673215565138000,6250,8.20143242938238621000,951,1.24792995845482389000,-1267,-1.662594382,-0.120110753,ND
Ohio,11689100,0.008499730917393750878692,134291,11.48856627114149079000,117750,10.07348726591439888000,9553,0.81725710277095756000,-12916,-1.104961032,-0.013530233,OH
Oklahoma,3956971,0.002105112659443137024066,48759,12.32230410584257504000,40266,10.17596540384046282000,4484,1.13319000821588028000,3822,0.96589032368445460000,-0.216742719,OK
Oregon,4217737,0.001628938483748135824916,43305,10.26735427078549469000,36563,8.66886674062417832000,3295,0.78122462353627075000,25821,6.12200333970562887000,0.37172130296978834388,OR
Pennsylvania,12801989,0.011832075577439164940169,135190,10.56007781290860350000,133439,10.42330219155788995000,19532,1.52570042045810225000,-19588,-1.530074741,-0.174890127,PA
Rhode Island,1059361,0.001509011451777902188194,10481,9.89370007013662009000,9802,9.25274764693055531000,3645,3.44075343532563498000,-3215,-3.034848366,-0.008443264,RI
South Carolina,5148714,0.002571398581594445517049,56353,10.94506317499865015000,50744,9.85566492914541379000,5724,1.11173392035370386000,53034,10.30043618658950565000,0.201478058527807860701343,SC
South Dakota,884659,0.000382478406600384890121,11911,13.46394486463145687000,7337,8.29359108990017623000,418,0.47249844290285862000,964,1.08968540420659260000,-0.008618454,SD
Tennessee,6829174,0.005341260564612310468860,80239,11.74944436911403927000,67977,9.95391243509097879000,9293,1.36077950276270600000,36009,5.27281923113981281000,0.53906597874554144038,TN
Texas,28995881,0.011122876983839388924055,378664,13.05923417191565933000,202786,6.99361402400568550000,65044,2.24321516562990447000,125660,4.33371898581043287000,1.41316545710366031915,TX
Utah,3205958,0.001182058845392056474968,48642,15.17237593256056380000,17443,5.44080739672821665000,5579,1.74019746983584938000,15588,4.86219719659459045000,0.43283681614503359702,UT
Vermont,623989,0.000353056793981945417450,5581,8.94406792427430612000,5634,9.02900531900402090000,383,0.61379287134869365000,-682,-1.092967985,-0.005766377,VT
Virginia,8535519,0.043029237234424224442417,98403,11.52864869728483997000,69729,8.16927476817754140000,14869,1.74201475036257315000,-9136,-1.070350848,0.144209733190045154203355,VA
Washington,7614893,0.001907413580872037962673,87950,11.54973549858152964000,58587,7.69373909784418507000,24103,3.16524473817294609000,37476,4.92140861335806032000,0.43175577081218255832,WA
West Virginia,1792147,0.001971864851224685867293,17888,9.98132407665219427000,22567,12.59215901374161829000,-349,-0.19473849,-7073,-3.946662857,-0.488424334,WV
Wisconsin,5822434,0.002780218091886341255745,63712,10.94250274026292097000,50393,8.65497144321429835000,3341,0.57381500588928960000,-1438,-0.246975749,0.117843923858440207362428,WI
Wyoming,578759,0.000057922277573948941274,6601,11.40543818757030128000,4971,8.58906729744159486000,538,0.92957517723266506000,-1012,-1.748568921,-0.02675318,WY
